frame,id,class,x1,y1,x2,y2,confidence,x_center,y_center,time_sec,distance,speed,acceleration
0,1,person,753.594970703125,444.01275634765625,812.8934936523438,524.61083984375,0.7948095798492432,783.2442321777344,484.3117980957031,0.0,0.0,0.0,0.0
1,1,person,755.4498901367188,444.8616943359375,813.6277465820312,523.8145141601562,0.7823453545570374,784.538818359375,484.3381042480469,0.04,1.2948534262015858,32.371335655039644,32.371335655039644
2,1,person,754.6380615234375,446.5106201171875,812.2291870117188,525.6629028320312,0.6028727293014526,783.4336242675781,486.0867614746094,0.08,2.06863628425878,51.71590710646951,19.344571451429864
3,1,person,754.5992431640625,448.6747131347656,810.88232421875,527.40576171875,0.6130081415176392,782.7407836914062,488.0402374267578,0.12,2.0727026703346576,51.81756675836644,0.10165965189693082
4,1,person,755.5986328125,445.08111572265625,812.9801635742188,526.0457763671875,0.6709873080253601,784.2893981933594,485.5634460449219,0.16,2.9210789829780874,73.02697457445218,21.209407816085744
5,1,person,753.10009765625,441.4045715332031,812.0146484375,525.3170776367188,0.7385309934616089,782.557373046875,483.36082458496094,0.2,2.802044325833314,70.05110814583286,-2.9758664286193266
6,1,person,750.398681640625,440.6325378417969,806.239013671875,522.234619140625,0.684164822101593,778.31884765625,481.43357849121094,0.24,4.656111574355521,116.40278935888801,46.35168121305516
7,1,person,747.8018798828125,441.7969055175781,800.9039306640625,521.560546875,0.6845911741256714,774.3529052734375,481.67872619628906,0.28,3.973511844841231,99.33779612103078,-17.064993237857237
8,1,person,744.8073120117188,440.1747741699219,797.5033569335938,519.6417846679688,0.7859830856323242,771.1553344726562,479.9082794189453,0.32,3.654988483896456,91.3747120974114,-7.963084023619373
9,1,person,741.5208129882812,439.8511657714844,794.0209350585938,518.7353515625,0.7568250298500061,767.7708740234375,479.2932586669922,0.36,3.439887070480508,85.9971767620127,-5.377535335398704
10,1,person,737.1626586914062,438.8529968261719,785.394775390625,513.1507568359375,0.7302999496459961,761.2787170410156,476.0018768310547,0.4,7.278825226253781,181.97063065634453,95.97345389433183
11,1,person,732.7847900390625,438.3601989746094,779.7265014648438,512.7015991210938,0.7199811339378357,756.2556457519531,475.53089904785156,0.44,5.045103095802397,126.12757739505993,-55.843053261284595
12,1,person,730.3851318359375,435.147705078125,777.1063842773438,510.426513671875,0.6693971753120422,753.7457580566406,472.787109375,0.48,3.718590863745026,92.96477159362566,-33.162805801434274
13,1,person,729.2979736328125,433.30792236328125,773.3152465820312,504.9114074707031,0.667683482170105,751.3066101074219,469.1096649169922,0.52,4.412826810550173,110.32067026375432,17.355898670128667
14,1,person,727.4407348632812,434.4958801269531,765.2813110351562,496.6443176269531,0.6336452960968018,746.3610229492188,465.5700988769531,0.56,6.081723447443288,152.0430861860822,41.72241592232788
15,1,person,726.102294921875,433.0380859375,764.6688842773438,495.5611877441406,0.6357758641242981,745.3855895996094,464.2996368408203,0.6,1.6017315645216263,40.04328911304066,-111.99979707304155
17,1,person,718.8746337890625,429.03631591796875,761.1465454101562,493.56256103515625,0.5168300867080688,740.0105895996094,461.2994384765625,0.68,0.0,0.0,-40.04328911304066
22,1,person,684.2291259765625,412.8697509765625,735.9284057617188,491.9407653808594,0.5489952564239502,710.0787658691406,452.40525817871094,0.88,0.0,0.0,0.0
23,1,person,679.838134765625,412.4233703613281,729.7088623046875,490.4631652832031,0.5097543597221375,704.7734985351562,451.4432678222656,0.92,5.3917795699504865,134.79448924876215,134.79448924876215
24,1,person,671.7525634765625,412.7728271484375,723.6318359375,493.00994873046875,0.5424814820289612,697.6921997070312,452.8913879394531,0.96,7.227852029960744,180.69630074901858,45.90181150025643
26,1,person,676.697021484375,414.10137939453125,727.4822387695312,493.8314208984375,0.5907038450241089,702.0896301269531,453.9664001464844,1.04,0.0,0.0,-180.69630074901858
29,1,person,679.27685546875,416.2145690917969,727.2174682617188,490.9608154296875,0.5557695627212524,703.2471618652344,453.5876922607422,1.16,0.0,0.0,0.0
30,1,person,673.2847290039062,419.0356750488281,722.8323974609375,494.3371887207031,0.5799010396003723,698.0585632324219,456.6864318847656,1.2,6.043487654485335,151.08719136213338,151.08719136213338
31,1,person,673.8613891601562,421.16082763671875,721.7821044921875,492.8053283691406,0.5854569673538208,697.8217468261719,456.9830780029297,1.24,0.3795799384727438,9.489498461818595,-141.5976929003148
32,1,person,671.9308471679688,424.010009765625,715.807373046875,490.9462585449219,0.5130764245986938,693.8691101074219,457.47813415527344,1.28,3.983518247025381,99.58795617563453,90.09845771381593
34,1,person,664.6112670898438,421.4333190917969,711.7168579101562,493.95086669921875,0.6315302848815918,688.1640625,457.6920928955078,1.36,0.0,0.0,-99.58795617563453
35,1,person,663.6708374023438,421.6705322265625,709.4673461914062,491.3598327636719,0.5500167608261108,686.569091796875,456.5151824951172,1.4,1.9821830476458722,49.55457619114681,49.55457619114681
42,1,person,622.85498046875,354.15301513671875,707.897705078125,492.23016357421875,0.636772871017456,665.3763427734375,423.19158935546875,1.68,0.0,0.0,-49.55457619114681
43,1,person,625.5643920898438,348.557373046875,709.5325927734375,494.038818359375,0.6648881435394287,667.5484924316406,421.298095703125,1.72,2.8815885114113753,72.03971278528438,72.03971278528438
0,2,person,83.0113525390625,520.4921264648438,131.93341064453125,616.6799926757812,0.7791885733604431,107.47238159179688,568.5860595703125,0.0,0.0,0.0,0.0
1,2,person,79.77578735351562,520.3208618164062,128.4278106689453,615.66552734375,0.7891706824302673,104.10179901123047,567.9931945800781,0.04,3.422326084560514,85.55815211401286,85.55815211401286
2,2,person,81.86592864990234,516.4415283203125,132.095947265625,613.4675903320312,0.8570605516433716,106.98093795776367,564.9545593261719,0.08,4.18601783079411,104.65044576985274,19.09229365583988
3,2,person,85.9909439086914,514.7488403320312,136.8316192626953,611.2235717773438,0.8482426404953003,111.41128158569336,562.9862060546875,0.12,4.847923190697273,121.19807976743182,16.547633997579084
4,2,person,88.98868560791016,508.8262023925781,140.90907287597656,607.3881225585938,0.7161980271339417,114.94887924194336,558.1071624755859,0.16,6.026579745118925,150.66449362797312,29.466413860541294
5,2,person,86.9611587524414,505.1888427734375,139.1300811767578,605.7003173828125,0.7243703007698059,113.04561996459961,555.444580078125,0.2,3.2728796036615657,81.82199009153915,-68.84250353643397
6,2,person,86.50870513916016,501.24652099609375,136.51145935058594,599.4429321289062,0.7838469743728638,111.51008224487305,550.3447265625,0.24,5.326009948313627,133.15024870784066,51.32825861630151
7,2,person,87.06800842285156,499.6329345703125,134.42857360839844,593.5918579101562,0.6830441951751709,110.748291015625,546.6123962402344,0.28,3.809280182851174,95.23200457127935,-37.91824413656131
8,2,person,83.15164184570312,499.8820495605469,127.7887954711914,589.5848388671875,0.5997781157493591,105.47021865844727,544.7334442138672,0.32,5.602544825790606,140.06362064476514,44.83161607348579
9,2,person,78.33460235595703,500.6848449707031,122.30313873291016,588.9003295898438,0.65485680103302,100.3188705444336,544.7925872802734,0.36,5.151687616117281,128.79219040293202,-11.271430241833116
10,2,person,70.96808624267578,501.00927734375,116.41891479492188,589.2149658203125,0.771169900894165,93.69350051879883,545.1121215820312,0.4,6.63307094388259,165.82677359706474,37.03458319413272
11,2,person,67.95642852783203,501.4756774902344,114.44364929199219,588.8375854492188,0.7525083422660828,91.20003890991211,545.1566314697266,0.44,2.4938588422552295,62.346471056380736,-103.48030254068401
12,2,person,68.14064025878906,502.2890930175781,116.29907989501953,589.9954833984375,0.8167990446090698,92.2198600769043,546.1422882080078,0.48,1.4182927830192678,35.45731957548169,-26.889151480899045
13,2,person,70.09169006347656,501.25103759765625,119.30775451660156,588.9027709960938,0.7879733443260193,94.69972229003906,545.076904296875,0.52,2.699029357794077,67.47573394485192,32.018414369370234
14,2,person,68.73295593261719,495.7408752441406,118.84822082519531,586.5843505859375,0.5876209139823914,93.79058837890625,541.1626129150391,0.56,4.018482485999751,100.46206214999378,32.98632820514186
15,2,person,67.83357238769531,490.68292236328125,118.34674835205078,584.6710815429688,0.6847924590110779,93.09016036987305,537.677001953125,0.6,3.555289464115924,88.8822366028981,-11.57982554709568
16,2,person,68.58932495117188,485.6700439453125,118.54629516601562,581.5472412109375,0.7196297645568848,93.56781005859375,533.608642578125,0.64,4.096302873236472,102.4075718309118,13.525335228013702
17,2,person,71.51811218261719,482.00018310546875,121.39429473876953,580.0228271484375,0.723411500453949,96.45620346069336,531.0115051269531,0.68,3.884319681176113,97.10799202940282,-5.299579801508983
18,2,person,75.7593002319336,482.337890625,124.04468536376953,579.6232299804688,0.6768394112586975,99.90199279785156,530.9805603027344,0.72,3.4459282839634224,86.14820709908557,-10.959784930317255
19,2,person,77.995361328125,482.9819641113281,126.03338623046875,580.5296020507812,0.7347842454910278,102.01437377929688,531.7557830810547,0.76,2.2501386105745853,56.253465264364635,-29.894741834720932
20,2,person,77.39601135253906,486.6109619140625,125.97480010986328,584.1220703125,0.7593692541122437,101.68540573120117,535.3665161132812,0.8,3.6256879356447547,90.64219839111887,34.38873312675423
21,2,person,76.51846313476562,489.1922607421875,125.34515380859375,585.0538940429688,0.7647494077682495,100.93180847167969,537.1230773925781,0.84,1.9113912099524173,47.784780248810435,-42.85741814230843
22,2,person,77.39265441894531,491.0864562988281,127.11572265625,585.9559326171875,0.7705293297767639,102.25418853759766,538.5211944580078,0.88,1.9244272829553557,48.11068207388389,0.32590182507345844
23,2,person,80.43416595458984,493.490966796875,130.36500549316406,586.8541870117188,0.7851675748825073,105.39958572387695,540.1725769042969,0.92,3.5525466138201995,88.81366534550499,40.70298327162109
24,2,person,85.58451080322266,493.5506896972656,135.26055908203125,586.410888671875,0.7481698393821716,110.42253494262695,539.9807891845703,0.96,5.026609332699245,125.66523331748112,36.85156797197614
25,2,person,88.98135375976562,491.2654724121094,138.56549072265625,585.9803466796875,0.675614595413208,113.77342224121094,538.6229095458984,1.0,3.615561201380933,90.38903003452332,-35.27620328295781
26,2,person,94.10839080810547,488.5351867675781,141.48985290527344,582.6278686523438,0.5444008111953735,117.79912185668945,535.5815277099609,1.04,5.045419790863237,126.13549477158092,35.74646473705761
27,2,person,98.14691925048828,487.57928466796875,144.44923400878906,583.7201538085938,0.6340330839157104,121.29807662963867,535.6497192382812,1.08,3.4996192060963973,87.49048015240993,-38.64501461917099
28,2,person,104.64997863769531,487.5794372558594,148.9111785888672,582.5523681640625,0.7023921012878418,126.78057861328125,535.0659027099609,1.12,5.513498865456017,137.83747163640044,50.34699148399051
29,2,person,109.48147583007812,487.71209716796875,152.7134246826172,583.5127563476562,0.6857730150222778,131.09745025634766,535.6124267578125,1.16,4.351329603419042,108.78324008547604,-29.0542315509244
30,2,person,115.92015838623047,487.40985107421875,157.65570068359375,581.1281127929688,0.730954647064209,136.7879295349121,534.2689819335938,1.2,5.846913580299573,146.17283950748933,37.38959942201329
31,2,person,118.08914947509766,487.0715026855469,160.62362670898438,582.9066162109375,0.7187274694442749,139.35638809204102,534.9890594482422,1.24,2.6674877669430788,66.68719417357697,-79.48564533391236
32,2,person,121.94366455078125,486.1481628417969,164.61520385742188,580.9447021484375,0.7682054042816162,143.27943420410156,533.5464324951172,1.28,4.179887955823229,104.49719889558074,37.81000472200377
33,2,person,126.28565216064453,486.4004211425781,168.29986572265625,578.9796142578125,0.7847960591316223,147.2927589416504,532.6900177001953,1.32,4.103683924229843,102.59209810574608,-1.9051007898346626
34,2,person,133.0574493408203,487.5364685058594,172.4322052001953,575.3162841796875,0.7664493322372437,152.7448272705078,531.4263763427734,1.36,5.596591689833836,139.91479224584592,37.32269414009984
35,2,person,137.4185028076172,486.0164794921875,175.06097412109375,571.3373413085938,0.6865590810775757,156.23973846435547,528.6769104003906,1.4,4.446792914135384,111.16982285338459,-28.74496939246133
36,2,person,144.9634552001953,482.5782470703125,182.50851440429688,570.060546875,0.5904281139373779,163.7359848022461,526.3193969726562,1.44,7.858217273675149,196.45543184187872,85.28560898849413
37,2,person,150.20034790039062,480.336669921875,186.97079467773438,567.6487426757812,0.7141210436820984,168.5855712890625,523.9927062988281,1.48,5.378845469502825,134.47113673757062,-61.9842951043081
38,2,person,156.46070861816406,479.9312438964844,192.2421417236328,565.4554443359375,0.7477707862854004,174.35142517089844,522.6933441162109,1.52,5.91044948107149,147.76123702678726,13.290100289216639
39,2,person,160.34423828125,479.62860107421875,195.625,564.9114379882812,0.6979323625564575,177.984619140625,522.27001953125,1.56,3.6577728368352522,91.44432092088131,-56.316916105905946
40,2,person,166.1512908935547,479.98162841796875,202.29037475585938,567.1045532226562,0.6694467067718506,184.22083282470703,523.5430908203125,1.6,6.3648308399019715,159.1207709975493,67.67645007666799
41,2,person,171.11793518066406,479.8413391113281,207.4239501953125,567.3436279296875,0.7279682159423828,189.27094268798828,523.5924835205078,1.64,5.0503514006495775,126.25878501623944,-32.86198598130986
42,2,person,179.27687072753906,479.03912353515625,213.80911254882812,562.904052734375,0.6054665446281433,196.5429916381836,520.9715881347656,1.68,7.729928108141849,193.24820270354624,66.9894176873068
43,2,person,184.34669494628906,477.8447570800781,219.39468383789062,563.72509765625,0.6423972249031067,201.87068939208984,520.7849273681641,1.72,5.330966666446713,133.27416666116784,-59.9740360423784
44,2,person,192.0641632080078,478.7157287597656,225.91331481933594,562.5899047851562,0.6762245893478394,208.98873901367188,520.6528167724609,1.76,7.119275498588402,177.98188746471004,44.7077208035422
45,2,person,198.1838836669922,477.88336181640625,230.90591430664062,560.0006103515625,0.6871017813682556,214.5448989868164,518.9419860839844,1.8,5.813592288061369,145.33980720153423,-32.642080263175814
46,2,person,205.72976684570312,478.6183776855469,237.16812133789062,558.71533203125,0.6156541109085083,221.44894409179688,518.6668548583984,1.84,6.90952502006449,172.73812550161225,27.398318300078017
47,2,person,209.93621826171875,477.1590576171875,241.92190551757812,559.7907104492188,0.6023580431938171,225.92906188964844,518.4748840332031,1.88,4.484228838981403,112.10572097453509,-60.632404527077156
48,2,person,217.7339630126953,475.2703552246094,250.1014862060547,559.67626953125,0.7074400782585144,233.917724609375,517.4733123779297,1.92,8.05120350197386,201.28008754934652,89.17436657481143
49,2,person,223.09996032714844,475.13275146484375,255.5907440185547,560.0776977539062,0.6874678730964661,239.34535217285156,517.605224609375,1.96,5.429230314198819,135.73075785497048,-65.54932969437604
50,2,person,230.33775329589844,475.76129150390625,261.3385314941406,557.0125732421875,0.6368878483772278,245.83814239501953,516.3869323730469,2.0,6.606100274910862,165.15250687277154,29.421749017801062
51,2,person,234.55838012695312,476.562744140625,265.1925048828125,556.8684692382812,0.6024048328399658,249.8754425048828,516.7156066894531,2.04,4.050656611386255,101.26641528465639,-63.88609158811515
52,2,person,240.56092834472656,475.05133056640625,272.2529602050781,557.500244140625,0.6429275870323181,256.40694427490234,516.2757873535156,2.08,6.546293334401749,163.65733336004374,62.39091807538735
53,2,person,244.43408203125,474.4649963378906,277.2131652832031,559.861328125,0.6740309596061707,260.82362365722656,517.1631622314453,2.12,4.504940725495572,112.62351813738928,-51.033815222654454
54,2,person,252.49139404296875,474.93133544921875,282.69610595703125,553.6310424804688,0.5977214574813843,267.59375,514.2811889648438,2.16,7.3580147191019485,183.95036797754872,71.32684984015944
55,2,person,258.4148254394531,476.7079772949219,287.40655517578125,551.698486328125,0.6226215362548828,272.9106903076172,514.2032318115234,2.2,5.317511782076101,132.93779455190253,-51.012573425646195
56,2,person,265.7804260253906,472.8193664550781,294.4783020019531,547.1265258789062,0.6091428399085999,280.1293640136719,509.9729461669922,2.24,8.366873173940936,209.1718293485234,76.23403479662088
57,2,person,269.4791259765625,470.2228698730469,299.5587158203125,548.5596923828125,0.646175742149353,284.5189208984375,509.3912811279297,2.28,4.427927716467476,110.6981929116869,-98.4736364368365
58,2,person,278.15289306640625,469.8760070800781,307.6604919433594,547.5178833007812,0.6379530429840088,292.9066925048828,508.6969451904297,2.32,8.416460949591235,210.41152373978088,99.71333082809397
59,2,person,283.26214599609375,470.2811279296875,312.97528076171875,548.7752685546875,0.7366723418235779,298.11871337890625,509.5281982421875,2.36,5.277891930241914,131.94729825604784,-78.46422548373303
60,2,person,288.11419677734375,467.0817565917969,320.3232116699219,552.9614868164062,0.7157275676727295,304.2187042236328,510.02162170410156,2.4,6.1199146251001855,152.99786562750464,21.050567371456793
61,2,person,292.7292785644531,467.1402893066406,323.511474609375,549.2644653320312,0.5846604704856873,308.12037658691406,508.20237731933594,2.44,4.304961946625539,107.62404866563848,-45.373816961866154
62,2,person,299.42425537109375,465.62017822265625,329.20556640625,545.2450561523438,0.6545136570930481,314.3149108886719,505.4326171875,2.48,6.785560139263521,169.63900348158802,62.01495481594954
63,2,person,304.08367919921875,465.4468078613281,333.1222839355469,542.89501953125,0.6302163600921631,318.6029815673828,504.17091369628906,2.52,4.469837339921258,111.74593349803146,-57.89306998355656
64,2,person,310.998779296875,466.2757873535156,339.19146728515625,541.8863525390625,0.6615405678749084,325.0951232910156,504.08106994628906,2.56,6.492763360784689,162.31908401961724,50.573150521585774
65,2,person,314.2323303222656,464.86761474609375,342.8687438964844,543.0767211914062,0.6636398434638977,328.550537109375,503.97216796875,2.6,3.457129488003137,86.42823720007843,-75.89084681953881
66,2,person,320.8203125,463.13238525390625,349.4514465332031,541.1771240234375,0.5828795433044434,335.13587951660156,502.1547546386719,2.64,6.831524415001545,170.78811037503863,84.3598731749602
67,2,person,326.4660339355469,463.30303955078125,354.6135559082031,538.7216186523438,0.6445924043655396,340.539794921875,501.0123291015625,2.68,5.523353855692321,138.08384639230803,-32.704263982730595
68,2,person,333.2466125488281,465.5026550292969,361.1532287597656,539.5049438476562,0.7360900640487671,347.1999206542969,502.50379943847656,2.72,6.825083042539671,170.62707606349176,32.543229671183724
69,2,person,336.6690673828125,464.8581237792969,365.3398132324219,540.2461547851562,0.7307787537574768,351.0044403076172,502.55213928222656,2.76,3.804826741521128,95.1206685380282,-75.50640752546356
70,2,person,340.9396667480469,462.48150634765625,370.3260803222656,538.8493041992188,0.6524671316146851,355.63287353515625,500.6654052734375,2.8,4.998215617768897,124.95539044422242,29.83472190619422
71,2,person,343.7992858886719,461.3160095214844,373.6183166503906,538.295166015625,0.6616413593292236,358.70880126953125,499.8055877685547,2.84,3.1938405672168777,79.84601418042195,-45.10937626380047
72,2,person,348.1438903808594,462.2235412597656,378.0347595214844,538.6399536132812,0.6406125426292419,363.0893249511719,500.43174743652344,2.88,4.4250495652823,110.62623913205749,30.780224951635546
73,2,person,352.0561828613281,462.60064697265625,382.5798645019531,539.9010620117188,0.729556143283844,367.3180236816406,501.2508544921875,2.92,4.307299539352547,107.68248848381367,-2.943750648243821
74,2,person,355.97515869140625,460.9842529296875,387.0892028808594,538.9967041015625,0.6296513080596924,371.5321807861328,499.990478515625,2.96,4.398598379442917,109.96495948607293,2.282471002259257
75,2,person,358.53265380859375,459.63397216796875,390.266845703125,538.3050537109375,0.5615195631980896,374.3997497558594,498.9695129394531,3.0,3.043899226956541,76.09748067391352,-33.867478812159405
76,2,person,359.9320983886719,459.15167236328125,390.68902587890625,535.0914306640625,0.6364513635635376,375.31056213378906,497.1215515136719,3.04,2.0602282929242093,51.505707323105234,-24.59177335080829
77,2,person,360.8311767578125,459.44659423828125,391.1803894042969,533.7979125976562,0.7394729852676392,376.0057830810547,496.62225341796875,3.08,0.8559385222606118,21.398463056515297,-30.107244266589937
78,2,person,362.71142578125,460.6358642578125,393.3346862792969,533.4996337890625,0.7359697818756104,378.02305603027344,497.0677490234375,3.12,2.0658791073394593,51.64697768348648,30.248514626971186
79,2,person,362.5442199707031,460.4915466308594,394.0394287109375,532.9437866210938,0.7571388483047485,378.2918243408203,496.71766662597656,3.16,0.4413548343070678,11.033870857676694,-40.61310682580979
80,2,person,359.6092529296875,459.41253662109375,391.0992736816406,530.0245971679688,0.6865551471710205,375.35426330566406,494.71856689453125,3.2,3.553261117837103,88.83152794592758,77.79765708825089
81,2,person,357.3812561035156,458.83990478515625,390.7829284667969,531.3297729492188,0.7367240190505981,374.08209228515625,495.0848388671875,3.24,1.323848278079248,33.0962069519812,-55.735320993946374
82,2,person,351.3114013671875,457.29339599609375,386.16558837890625,531.5158081054688,0.6495141983032227,368.7384948730469,494.40460205078125,3.28,5.386720285024694,134.66800712561735,101.57180017363615
83,2,person,345.21282958984375,453.1722717285156,380.3369445800781,526.25146484375,0.6280726194381714,362.77488708496094,489.7118682861328,3.32,7.588568246776907,189.71420616942268,55.04619904380533
84,2,person,338.99346923828125,448.8628845214844,374.4857177734375,521.059326171875,0.5936847925186157,356.7395935058594,484.9611053466797,3.36,7.680788832719322,192.01972081798303,2.3055146485603473
85,2,person,336.9460754394531,447.9310302734375,370.8828430175781,516.4627685546875,0.6684553623199463,353.9144592285156,482.1968994140625,3.4,3.952495176839391,98.81237942098477,-93.20734139699826
