frame,id,class,x1,y1,x2,y2,confidence
0,1,person,753.594970703125,444.01275634765625,812.8934936523438,524.61083984375,0.7948095798492432
0,2,person,83.0113525390625,520.4921264648438,131.93341064453125,616.6799926757812,0.7791885733604431
0,3,person,1052.1446533203125,378.6681823730469,1093.0584716796875,459.0852355957031,0.7634520530700684
0,4,person,572.0692138671875,386.421630859375,610.6304321289062,470.42041015625,0.6499301791191101
0,5,person,967.83447265625,315.0101318359375,1003.8943481445312,387.3195495605469,0.6261247992515564
0,6,person,280.6238708496094,397.769287109375,313.1387634277344,469.410400390625,0.6095341444015503
0,7,person,758.8723754882812,331.0702209472656,802.2487182617188,412.4422912597656,0.5945673584938049
0,8,person,375.831787109375,401.5418701171875,411.616455078125,480.6716613769531,0.5667018294334412
0,9,person,437.0322265625,307.1231384277344,467.4701232910156,377.1986389160156,0.5666623115539551
1,1,person,755.4498901367188,444.8616943359375,813.6277465820312,523.8145141601562,0.7823453545570374
1,2,person,79.77578735351562,520.3208618164062,128.4278106689453,615.66552734375,0.7891706824302673
1,3,person,1050.751708984375,380.60577392578125,1090.8607177734375,459.79681396484375,0.6693731546401978
1,4,person,579.6929931640625,387.8327331542969,618.0401611328125,471.4455871582031,0.7167574763298035
1,5,person,968.6869506835938,315.89263916015625,1004.0330810546875,387.09149169921875,0.5926531553268433
1,6,person,286.61767578125,399.36773681640625,320.41290283203125,473.5564270019531,0.7413967847824097
1,7,person,765.089111328125,332.8103942871094,805.227783203125,408.27978515625,0.6492905616760254
1,8,person,383.7272033691406,407.77685546875,416.5650939941406,480.4394226074219,0.5831866264343262
1,9,person,439.6230163574219,307.0123291015625,471.46807861328125,380.1675720214844,0.713016152381897
2,1,person,754.6380615234375,446.5106201171875,812.2291870117188,525.6629028320312,0.6028727293014526
2,2,person,81.86592864990234,516.4415283203125,132.095947265625,613.4675903320312,0.8570605516433716
2,3,person,1053.8878173828125,381.24749755859375,1093.03173828125,458.4511413574219,0.7725554704666138
2,4,person,592.603515625,392.77032470703125,627.8327026367188,469.70849609375,0.6288905143737793
2,5,person,974.7324829101562,315.9006652832031,1007.7378540039062,382.7093200683594,0.6089967489242554
2,6,person,295.9136047363281,398.56561279296875,330.97198486328125,474.2920227050781,0.7212713956832886
2,7,person,769.8056030273438,332.4757995605469,810.2066040039062,409.14202880859375,0.6482595205307007
2,8,person,393.72308349609375,406.5496826171875,427.9713134765625,482.4944152832031,0.6276462078094482
2,9,person,446.7659912109375,309.3024597167969,478.3302307128906,381.726806640625,0.5474724173545837
3,1,person,754.5992431640625,448.6747131347656,810.88232421875,527.40576171875,0.6130081415176392
3,2,person,85.9909439086914,514.7488403320312,136.8316192626953,611.2235717773438,0.8482426404953003
3,3,person,1056.632568359375,380.2071533203125,1096.657470703125,458.5234375,0.808152437210083
